id,age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
35,53,96.2,1.72,14.00,True,Salem,business_owner,High
36,27,61.0,1.70,5.80,False,Vijayawada,freelancer,Low
37,63,59.0,1.61,0.00,False,Gwalior,retired,Medium
38,34,80.1,1.80,9.20,False,Dhanbad,private_job,Low
39,47,89.5,1.74,16.80,True,Bareilly,business_owner,High
40,21,57.2,1.68,2.50,False,Aligarh,student,Low
41,51,75.0,1.65,12.50,False,Gaya,private_job,Medium
42,40,94.3,1.71,21.00,True,Kozhikode,business_owner,High
43,56,63.1,1.57,1.50,False,Warangal,retired,Medium
44,25,69.5,1.76,6.20,False,Kolhapur,freelancer,Low
45,39,83.4,1.73,14.20,False,Bilaspur,private_job,Medium
46,43,102.1,1.83,42.00,True,Noida,business_owner,High
47,59,66.5,1.64,2.80,False,Guntur,retired,Medium
48,20,54.8,1.62,1.80,False,Asansol,student,Low
49,32,76.2,1.75,8.00,False,Siliguri,freelancer,Low
50,45,88.0,1.69,19.50,True,Mumbai,private_job,High
51,61,61.2,1.60,0.90,False,Delhi,retired,Medium
52,28,70.5,1.79,7.10,False,Bangalore,private_job,Low
53,50,97.3,1.75,26.50,True,Chennai,business_owner,High
54,35,64.2,1.66,11.00,False,Kolkata,freelancer,Low
55,42,81.6,1.72,13.80,False,Hyderabad,private_job,Medium
56,54,58.7,1.55,1.10,False,Pune,retired,Medium
57,23,53.0,1.61,3.20,False,Indore,student,Low
58,47,93.4,1.70,17.40,True,Jaipur,business_owner,High
59,38,73.1,1.74,12.60,False,Chandigarh,private_job,Medium
60,52,85.2,1.78,20.00,True,Lucknow,freelancer,High
61,26,62.0,1.68,5.50,False,Bhopal,private_job,Low
62,64,68.0,1.63,0.00,False,Nagpur,retired,High
63,31,108.2,1.85,29.00,True,Surat,business_owner,High
64,44,77.4,1.71,15.00,False,Vadodara,private_job,Medium
65,58,60.1,1.59,1.30,False,Rajkok,retired,Medium
66,29,74.5,1.80,8.20,False,Jodhpur,freelancer,Low
67,49,90.1,1.67,11.20,True,Raipur,business_owner,High
68,36,69.2,1.64,10.50,False,Amritsar,private_job,Medium
69,55,83.0,1.73,18.50,False,Varanasi,business_owner,Medium
70,22,56.4,1.66,2.90,False,Agra,student,Low
71,40,78.9,1.72,14.10,False,Dehradun,private_job,Medium
72,53,95.5,1.76,23.40,True,Jabalpur,business_owner,High
73,60,62.4,1.58,2.20,False,Guwahati,retired,Medium
74,27,67.1,1.75,6.80,False,Ludhiana,freelancer,Low
75,46,84.3,1.71,16.00,True,Nashik,private_job,High
76,33,71.0,1.68,9.00,False,Udaipur,freelancer,Low
77,57,66.8,1.62,1.60,False,Aurangabad,retired,Medium
78,34,104.2,1.81,31.50,True,Hubli,business_owner,High
79,48,76.5,1.73,12.80,False,Salem,private_job,Medium
80,24,59.3,1.69,4.20,False,Vijayawada,student,Low
81,51,91.8,1.69,14.90,True,Gwalior,business_owner,High
82,37,68.4,1.63,11.20,False,Dhanbad,private_job,Medium
83,62,61.0,1.57,0.50,False,Bareilly,retired,Medium
84,25,72.1,1.78,7.00,False,Aligarh,freelancer,Low
85,43,86.0,1.74,18.20,True,Gaya,business_owner,High
86,39,74.2,1.70,13.00,False,Kozhikode,private_job,Medium
87,56,80.4,1.75,19.10,False,Warangal,business_owner,Medium
88,21,55.1,1.64,2.00,False,Kolhapur,student,Low
89,41,92.5,1.72,22.00,True,Bilaspur,freelancer,High
90,30,65.8,1.67,8.50,False,Jalandhar,private_job,Low
91,63,64.2,1.59,0.00,False,Mysore,retired,Medium
92,32,101.5,1.80,27.00,True,Noida,business_owner,High
93,46,75.1,1.71,12.30,False,Guntur,private_job,Medium
94,59,67.0,1.61,3.00,False,Asansol,retired,Medium
95,20,58.2,1.65,2.40,False,Siliguri,student,Low
96,35,78.0,1.76,9.50,False,Indore,freelancer,Low
97,48,89.2,1.68,16.50,True,Hyderabad,business_owner,High
98,28,63.5,1.71,6.40,False,Mysore,private_job,Low
99,54,61.8,1.56,1.40,False,Kolkata,retired,Medium
100,42,106.0,1.82,38.00,True,Jalandhar,business_owner,High
32,47,113.7,1.90,50.00,False,Jalandhar,private_job,Medium
2,39,56.8,1.64,36.64,False,Indore,freelancer,Low
36,61,58.4,1.64,0.53,False,Hyderabad,retired,Medium
24,50,54.2,1.66,18.60,False,Mysore,private_job,Medium
98,27,101.1,1.82,28.30,False,Kolkata,business_owner,Low
